tag_id,species,date,level,field_name,prop_use,confidence
78786133,EAME,2025-08-14,95,blue_silo,0.006383935633778585,0
78786133,EAME,2025-08-14,95,frog,0.11250379465135438,0.8104599001920131
78786133,EAME,2025-08-14,50,frog,0.17315391673441083,0.8104599001920131
78786133,EAME,2025-08-14,95,pear_tree,0.08113724752691621,0.318323455473898
78786133,EAME,2025-08-14,50,pear_tree,0.049048138356149004,0.318323455473898
78786133,EAME,2025-08-14,95,wheat,0.29146226945343184,0.8135723735944256
78786133,EAME,2025-08-14,50,wheat,0.4503105812122477,0.8135723735944256
78786133,EAME,2025-08-14,95,retired,0.008757693891963653,0
78786133,EAME,2025-08-14,95,cattle,0.10851598879740545,0.28529399023004515
78786133,EAME,2025-08-14,50,cattle,0.058792235259049606,0.28529399023004515
78786133,EAME,2025-08-14,95,off_field,0.38629710980378884,NA
78786133,EAME,2025-08-14,50,off_field,0.26869512843814286,NA
78786133,EAME,2025-06-18,95,horse,0.2992240802435314,0.27236286776035884
78786133,EAME,2025-06-18,50,horse,0.15475701855924,0.27236286776035884
78786133,EAME,2025-06-18,95,quarter,0.6574532638729775,0.6654864236900637
78786133,EAME,2025-06-18,50,quarter,0.83082585100973,0.6654864236900637
78786133,EAME,2025-06-18,95,cattle,0.013589656576736114,0
78786133,EAME,2025-06-18,95,wish_well,0.020820777229458458,0
78786133,EAME,2025-06-18,95,off_field,0.008912222077296446,NA
78786133,EAME,2025-06-18,50,off_field,0.014417130431029946,NA
78786133,EAME,2025-07-26,95,alfalfa,0.050999860649139195,0.17056344255505473
78786133,EAME,2025-07-26,50,alfalfa,0.01652651047333126,0.17056344255505473
78786133,EAME,2025-07-26,95,blue_silo,0.20328799217073465,0.9987515051501736
78786133,EAME,2025-07-26,50,blue_silo,0.38574063762342514,0.9987515051501736
78786133,EAME,2025-07-26,95,bobolink,0.029469494332106622,0.10605430051191882
78786133,EAME,2025-07-26,50,bobolink,0.005937822191624899,0.10605430051191882
78786133,EAME,2025-07-26,95,frog,0.00814125283855974,0
78786133,EAME,2025-07-26,95,horse,0.005052357509123506,0
78786133,EAME,2025-07-26,95,pear_tree,0.06247233076614862,0.49510446648729334
78786133,EAME,2025-07-26,50,pear_tree,0.0587639220863184,0.49510446648729334
78786133,EAME,2025-07-26,95,swale,0.1650457072748419,0.9473663684713752
78786133,EAME,2025-07-26,50,swale,0.29706290043854966,0.9473663684713752
78786133,EAME,2025-07-26,95,underhill,0.05433195653285317,0.3307454134197933
78786133,EAME,2025-07-26,50,underhill,0.03414093381680819,0.3307454134197933
78786133,EAME,2025-07-26,95,wheat,0.03680774009431185,0.04082543360940874
78786133,EAME,2025-07-26,95,quarter,0.023205701303470407,0.20748671009076733
78786133,EAME,2025-07-26,50,quarter,0.009147685039508023,0.20748671009076733
