tag_id,species,date,level,field_name,prop_use,confidence
55554B4C,BOBO,2022-07-07,95,frog,0.13547725794609553,0.7436076562637829
55554B4C,BOBO,2022-07-07,50,frog,0.1913128953578764,0.7436076562637829
55554B4C,BOBO,2022-07-07,95,horse,0.10368945839602928,0.5047330199901867
55554B4C,BOBO,2022-07-07,50,horse,0.09938716837182683,0.5047330199901867
55554B4C,BOBO,2022-07-07,95,pear_tree,0.011674026985912463,0
55554B4C,BOBO,2022-07-07,95,wheat,0.5371646064885852,0.5804857703390284
55554B4C,BOBO,2022-07-07,50,wheat,0.5921516741704561,0.5804857703390284
55554B4C,BOBO,2022-07-07,95,quarter,0.11656085597341333,0.5260638223961593
55554B4C,BOBO,2022-07-07,50,quarter,0.1164461563918269,0.5260638223961593
55554B4C,BOBO,2022-07-07,95,cattle,0.04761722031527303,0
55554B4C,BOBO,2022-07-07,95,wish_well,0.016207132884394855,0
55554B4C,BOBO,2022-07-07,95,off_field,0.02838002824140554,NA
55554B4C,BOBO,2022-07-07,50,off_field,7.02105708013719e-4,NA
55554B4C,BOBO,2022-08-09,95,blue_silo,0.006211618791144939,0
55554B4C,BOBO,2022-08-09,95,frog,0.04656624539869161,0.47369992251389054
55554B4C,BOBO,2022-08-09,50,frog,0.04189132997871145,0.47369992251389054
55554B4C,BOBO,2022-08-09,95,horse,0.17673706094113154,0.7119337713195223
55554B4C,BOBO,2022-08-09,50,horse,0.2389553925268814,0.7119337713195223
55554B4C,BOBO,2022-08-09,95,pear_tree,0.21888037920738135,0.5923276186105477
55554B4C,BOBO,2022-08-09,50,pear_tree,0.24621722259110435,0.5923276186105477
55554B4C,BOBO,2022-08-09,95,swale,0.01624831608178632,0
55554B4C,BOBO,2022-08-09,95,underhill,0.03963652872408837,0.03094292452169979
55554B4C,BOBO,2022-08-09,95,wheat,0.03326185276607051,0.0837810298325575
55554B4C,BOBO,2022-08-09,50,wheat,0.005292266964108074,0.0837810298325575
55554B4C,BOBO,2022-08-09,95,quarter,0.10536034747940072,0.21118009299801213
55554B4C,BOBO,2022-08-09,50,quarter,0.04225516321538969,0.21118009299801213
55554B4C,BOBO,2022-08-09,95,retired,0.02908409507756499,0.32279683175992646
55554B4C,BOBO,2022-08-09,50,retired,0.01782930571099041,0.32279683175992646
55554B4C,BOBO,2022-08-09,95,donkey,0.0068914953704923496,0.6158149418023321
55554B4C,BOBO,2022-08-09,50,donkey,0.008059596571039027,0.6158149418023321
55554B4C,BOBO,2022-08-09,95,cat_barn,0.0056365962379863665,0
55554B4C,BOBO,2022-08-09,95,native_ws,0.010901924997145065,0.33238019668096713
55554B4C,BOBO,2022-08-09,50,native_ws,0.0068815765109981235,0.33238019668096713
55554B4C,BOBO,2022-08-09,95,cattle,0.031310039821313945,0.31114121543057416
55554B4C,BOBO,2022-08-09,50,cattle,0.01850081141928248,0.31114121543057416
55554B4C,BOBO,2022-08-09,95,wish_well,0.16365442867598065,0.784939463742091
55554B4C,BOBO,2022-08-09,50,wish_well,0.24395714324564333,0.784939463742091
55554B4C,BOBO,2022-08-09,95,off_field,0.10828806749275247,NA
55554B4C,BOBO,2022-08-09,50,off_field,0.127830992327805,NA
55554B4C,BOBO,2022-07-14,95,frog,0.16396960330830143,0.6193372268598395
55554B4C,BOBO,2022-07-14,50,frog,0.19293667547918086,0.6193372268598395
55554B4C,BOBO,2022-07-14,95,horse,0.13056816068266838,0.35974084047611005
55554B4C,BOBO,2022-07-14,50,horse,0.08923830053107179,0.35974084047611005
55554B4C,BOBO,2022-07-14,95,wheat,0.3761767602035953,0.6171308053625536
55554B4C,BOBO,2022-07-14,50,wheat,0.4410557082107618,0.6171308053625536
55554B4C,BOBO,2022-07-14,95,quarter,0.3127334079312651,0.4729495241354627
55554B4C,BOBO,2022-07-14,50,quarter,0.28100453576242485,0.4729495241354627
55554B4C,BOBO,2022-07-14,95,cattle,0.019145110198075327,0
55554B4C,BOBO,2022-07-14,95,off_field,0,NA
55554B4C,BOBO,2022-07-14,50,off_field,0,NA
55554B4C,BOBO,2022-07-23,95,frog,0.282980599986458,0.7706235865761532
55554B4C,BOBO,2022-07-23,50,frog,0.4141501352316276,0.7706235865761532
55554B4C,BOBO,2022-07-23,95,horse,0.17333274173633004,0.15580946852102737
55554B4C,BOBO,2022-07-23,50,horse,0.05129007095290956,0.15580946852102737
55554B4C,BOBO,2022-07-23,95,wheat,0.3788488144720292,0.730121423832471
55554B4C,BOBO,2022-07-23,50,wheat,0.5253150843282937,0.730121423832471
55554B4C,BOBO,2022-07-23,95,quarter,0.05817705024708244,0.06458748609299372
55554B4C,BOBO,2022-07-23,50,quarter,0.007136067108026248,0.06458748609299372
55554B4C,BOBO,2022-07-23,95,cattle,0.007509241140018833,0
