tag_id,species,date,level,field_name,prop_use,confidence
6666344C,EAME,2022-07-28,95,blue_silo,0.009278411601936374,0
6666344C,EAME,2022-07-28,95,horse,0.17510940932917277,0.692168387247377
6666344C,EAME,2022-07-28,50,horse,0.23022967047674264,0.692168387247377
6666344C,EAME,2022-07-28,95,pear_tree,0.02296917044330653,0.021729593519432797
6666344C,EAME,2022-07-28,95,wheat,0.2420278473257394,0.7024055708929847
6666344C,EAME,2022-07-28,50,wheat,0.3229188029926183,0.7024055708929847
6666344C,EAME,2022-07-28,95,quarter,0.1971778032081201,0.5332278153809047
6666344C,EAME,2022-07-28,50,quarter,0.19971508440806643,0.5332278153809047
6666344C,EAME,2022-07-28,95,cat_barn,0.03421183713508578,0.38308753864999606
6666344C,EAME,2022-07-28,50,cat_barn,0.0248951340776346,0.38308753864999606
6666344C,EAME,2022-07-28,95,gi,0.011330190675521573,0
6666344C,EAME,2022-07-28,95,native_ws,0.049309563565008104,0.22442478376501332
6666344C,EAME,2022-07-28,50,native_ws,0.02102045065456996,0.22442478376501332
6666344C,EAME,2022-07-28,95,cattle,0.030421899781979806,0
6666344C,EAME,2022-07-28,95,wish_well,0.0488325763118883,0
6666344C,EAME,2022-07-28,95,off_field,0.17704258223616567,NA
6666344C,EAME,2022-07-28,50,off_field,0.2002727949064166,NA
6666344C,EAME,2022-07-30,95,blue_silo,0.005814305938770602,0
6666344C,EAME,2022-07-30,95,frog,0.0678121688647328,0.6640322455920548
6666344C,EAME,2022-07-30,50,frog,0.08555298283562789,0.6640322455920548
6666344C,EAME,2022-07-30,95,horse,0.1918959531590544,0.8145416546203974
6666344C,EAME,2022-07-30,50,horse,0.296973342040026,0.8145416546203974
6666344C,EAME,2022-07-30,95,pear_tree,0.021914493673179433,0
6666344C,EAME,2022-07-30,95,wheat,0.3041089071286204,0.6022625969678991
6666344C,EAME,2022-07-30,50,wheat,0.3479792797033022,0.6022625969678991
6666344C,EAME,2022-07-30,95,quarter,0.1161030164853314,0.6087433183886233
6666344C,EAME,2022-07-30,50,quarter,0.13428146247464265,0.6087433183886233
6666344C,EAME,2022-07-30,95,cat_barn,0.024957145223755504,0.10929060771553005
6666344C,EAME,2022-07-30,50,cat_barn,0.005182223016166665,0.10929060771553005
6666344C,EAME,2022-07-30,95,gi,0.012163893814752134,0
6666344C,EAME,2022-07-30,95,native_ws,0.06516984309748133,0.3240774199301641
6666344C,EAME,2022-07-30,50,native_ws,0.040126732783453925,0.3240774199301641
6666344C,EAME,2022-07-30,95,cattle,0.048128138672810454,0
6666344C,EAME,2022-07-30,95,wish_well,0.04141400958021984,0
6666344C,EAME,2022-07-30,95,off_field,0.09970097504196217,NA
6666344C,EAME,2022-07-30,50,off_field,0.08990397714678067,NA
6666344C,EAME,2022-07-26,95,blue_silo,0.030218147897801435,0.19239551966168852
6666344C,EAME,2022-07-26,50,blue_silo,0.01104132783342082,0.19239551966168852
6666344C,EAME,2022-07-26,95,frog,0.017287458916907705,0.05551928737126595
6666344C,EAME,2022-07-26,95,horse,0.06078446144691463,0.7254815460842534
6666344C,EAME,2022-07-26,50,horse,0.08374857982140604,0.7254815460842534
6666344C,EAME,2022-07-26,95,pear_tree,0.052520334013186086,0.17813014254773346
6666344C,EAME,2022-07-26,50,pear_tree,0.01776738049292076,0.17813014254773346
6666344C,EAME,2022-07-26,95,underhill,0.024433732559917983,0
6666344C,EAME,2022-07-26,95,wheat,0.026774809408768134,0.2137885089764892
6666344C,EAME,2022-07-26,50,wheat,0.010870993963501111,0.2137885089764892
6666344C,EAME,2022-07-26,95,quarter,0.0828513073723409,0.8596860408265774
6666344C,EAME,2022-07-26,50,quarter,0.1352688347572898,0.8596860408265774
6666344C,EAME,2022-07-26,95,retired,0.009282577669158971,0
6666344C,EAME,2022-07-26,95,cat_barn,0.02076325493728601,0.44735717490839355
6666344C,EAME,2022-07-26,50,cat_barn,0.017640396872869123,0.44735717490839355
6666344C,EAME,2022-07-26,95,gi,0.008796907690014306,0.14226616060081496
6666344C,EAME,2022-07-26,95,native_ws,0.13695419546153012,0.741504883883137
6666344C,EAME,2022-07-26,50,native_ws,0.19286253237060658,0.741504883883137
6666344C,EAME,2022-07-26,95,cattle,0.06751774521280363,0.6133150792463444
6666344C,EAME,2022-07-26,50,cattle,0.07864300160941536,0.6133150792463444
6666344C,EAME,2022-07-26,95,wish_well,0.16191349355850143,0.8929378070000767
6666344C,EAME,2022-07-26,50,wish_well,0.2745761195342251,0.8929378070000767
6666344C,EAME,2022-07-26,95,off_field,0.29276123340662824,NA
6666344C,EAME,2022-07-26,50,off_field,0.17070377876305823,NA
6666344C,EAME,2022-07-31,95,frog,0.02160518599081289,0
6666344C,EAME,2022-07-31,95,horse,0.3635969760112375,0.6248125349920718
6666344C,EAME,2022-07-31,50,horse,0.4313598367347677,0.6248125349920718
6666344C,EAME,2022-07-31,95,wheat,0.33887315341276414,0.5969345111384714
