species,n_tags,detections,days_detected,mean_nodes_detected,localizations,kdes
BOBO,25,10396591,739,30.84,234970,782
EAME,35,14385397,1634,35.34285714285714,326884,1498
ALL,60,24781988,2373,33.46666666666667,561854,2280
