method,n,mean_m,median_m,sd_m,rmse_m,q80_m,q95_m,max_m
kierlivia_global_allnodes,10224,246.523351153799,197.21478549882227,189.95569693145038,311.21278926095596,404.2439091952165,635.3851081296474,977.7090727881751
kierlivia_global_validnodes,819,126.87105471962269,95.12965851397752,107.36304656274076,166.15960407694968,193.778297169758,347.29753772863256,627.7235106877462
blair_own2m_allnodes (ref),10224,232.66032797056604,187.7225426335006,184.96061606451977,297.2169436889765,367.67643143224825,612.3270080592414,1078.0411062130288
