method,n,mean_m,median_m,sd_m,rmse_m,q80_m,q95_m,max_m,n_events,share_ge-80,median_ge-80,share_ge-75,median_ge-75
h0.5m_W90,1184,123.76066862766314,85.5041713001489,129.83717930706794,179.33253556755022,188.00510561456116,361.00236996694525,1373.5191923208217,1184,0.4,40.0,0.29,34.1
h1.0m_W90,1056,139.64072224828135,89.3895042213481,155.61934687494306,209.03104866441063,215.59212386802432,427.02749660860457,1403.7220598439944,1056,0.48,44.5,0.36,40.0
h2.0m_W90,1208,150.2629157381908,96.88001035244923,153.33026627521414,214.63842233032773,259.5108455358521,435.337127993206,1383.7488777833712,1208,0.59,57.7,0.43,45.4
h3.0m_W90,1215,140.7508787099825,88.3992342830232,155.13970206648523,209.42618673925858,223.9583589674841,377.4172149015393,1305.0556781032376,1215,0.6,51.2,0.41,43.2
