method,n,mean_m,median_m,sd_m,rmse_m,q80_m,q95_m,max_m,sec
weighted_centroid_p2,37960,259.78771668446234,212.187960783554,187.37491867623135,320.30937074168975,406.29992155790245,643.2450199488788,1276.5230327607348,1.4
RF_fingerprint,37960,691.5039678207769,679.3121186426142,327.12894286352275,764.9759889452326,993.0074616275062,1280.985790312454,1456.0610462910645,11.7
kNN_fingerprint,37960,697.1532935680955,689.8413050491442,322.29770607201874,768.0467366102582,998.9249260775227,1287.8825282139408,1440.7042979570906,0.2
HGB_fingerprint,37960,681.5099375135046,671.4774779309951,325.44598661049366,755.2271810219062,982.4011903141939,1268.337343156982,1475.986412349356,10.1
