method,n,mean_m,median_m,sd_m,rmse_m,q80_m,q95_m,max_m,sec
combine_augment,36385,170.1627248719254,127.4801733306578,151.13283649115738,227.58703706344872,275.84687109184205,481.0743469732271,1024.9996473771432,38.2
combine_martin_only,36385,212.47010884738884,161.25829272827178,171.08246103752893,272.7855406682121,335.5184658311973,575.9512254546069,1073.20808620818,8.1
combine_blair,36385,171.0575321249293,128.95123007742927,151.61296216056226,228.57501577041532,277.49552862774397,481.40798187995455,1092.275356064797,28.4
