conf_bin,n,median_err,mean_err,q80_err,q95_err
"(0, 50]",271,48.1,56.7,81.6,119.0
"(50, 100]",150,86.0,114.1,171.2,338.0
"(100, 150]",120,139.0,173.6,244.8,445.1
"(150, 200]",52,239.7,257.2,403.2,530.2
"(200, 300]",32,304.6,308.8,402.8,538.9
"(300, 1000]",17,496.7,608.0,865.1,1168.1
