method,n,mean_m,median_m,sd_m,rmse_m,q80_m,q95_m,max_m,share-80,med-80,share-75,med-75,sec
blair1m_only,618,125.30516732942247,78.10132766325724,126.53304978805433,178.005872116197,188.53490872150874,391.5536088188963,825.8713552631549,0.6,51.2,0.47,49.6,0.8
blair1m+martin,618,129.4500320320721,79.5001345302322,130.27309641500204,183.57812818722604,205.18805364977663,410.92015017434653,801.6423306412008,0.6,51.7,0.47,48.0,0.9
