method,n,mean_m,median_m,sd_m,rmse_m,q80_m,q95_m,max_m,share-80,med-80,share-75,med-75,sec
W150_dist,2836,138.58317204547942,82.76151082881573,148.65871143230302,203.21642551805866,229.00103859880076,390.3315392068672,1658.51163329609,0.61,52.4,0.48,47.5,4.3
W150_node_dist,2836,137.65671528817757,81.36513032947762,150.70148531842273,204.08895328525418,224.38437400034485,395.1255545487555,1655.7714374161742,0.61,52.7,0.48,47.4,4.5
W150_nodebin_dist,2836,168.07874823054777,109.77765331761216,176.12014398167204,243.42931906354863,259.7288063694723,519.3291035789314,1652.9611250524028,0.61,71.0,0.48,60.0,4.2
