method,n,mean_m,median_m,sd_m,rmse_m,q80_m,q95_m,max_m,share-80,med-80,share-75,med-75,sec
W90_dist,4663,144.9499769603731,95.53988700919282,154.53742770997889,211.8659737377125,235.67852878893962,410.2442836057912,1627.1896560237049,0.52,48.4,0.37,40.0,6.8
W90_node,4663,257.98125758894037,216.13591747002653,192.9115491796633,322.11987549555545,404.90913574506385,575.4467317804595,1639.361314851165,0.52,149.5,0.37,141.8,7.0
W90_node_dist,4663,145.23808842401718,94.4911885287756,157.08809410939776,213.92867882606066,234.46861941910302,416.9298378448998,1621.4904295340204,0.52,48.6,0.37,40.1,7.0
W90_nodebin,4663,271.4613365458988,196.17934621592298,237.9891841635557,360.99579301936336,424.8294832748287,796.5262768324029,1703.050600270276,0.52,138.1,0.37,131.9,7.4
W90_nodebin_dist,4663,197.1601695391806,121.24815137972507,214.97833151966975,291.6811689631697,300.1431395625527,735.545502181846,1591.8773006299534,0.52,65.0,0.37,51.5,6.9
