method,n,mean_m,median_m,sd_m,rmse_m,q80_m,q95_m,max_m
curve_max,2262,153.03638386443563,96.53898839149142,164.52047115432865,224.66676270035776,264.08177078298536,436.05266648764456,1629.9220331252384
gbm_max,2262,243.94844496268223,218.80812292601212,168.58446163648273,296.5113827221398,396.6003266473568,519.2931333067231,1260.1576303547486
gbm_allstats,2262,227.89607108608493,200.04968507879968,160.48456696593934,278.7122698736336,349.96357408423006,506.780087290541,1222.1135917381898
