height_m,species,a,b,c
0.5,BOBO,-104.7181138843729,-48.213283579714016,0.012808209057078768
0.5,EAME,-103.28075819393919,-46.10806829720556,0.010769934067081544
1.0,BOBO,-102.42598913282855,-42.51402315856969,0.008298445127955856
1.0,EAME,-104.41520847161303,-41.10599675253793,0.009293654625792899
2.0,BOBO,-101.5104998869492,-39.86515361120747,0.0064587231588838345
2.0,EAME,-104.23224158039243,-39.78671567508701,0.008390809182937563
3.0,BOBO,-103.63978741928656,-37.900720244418515,0.0065480316831065775
3.0,EAME,-103.72874173830569,-37.88031831853152,0.006812956521613419
