min_strongest_rssi,n_fixes,share_of_fixes,median_m,mean_m,q80_m,hits_50m
-90,17820,0.49,85.9,114.9,180.2,False
-85,11537,0.32,72.1,95.2,146.7,False
-82,8539,0.23,62.1,81.5,126.0,False
-80,7005,0.19,58.1,76.5,117.6,False
-78,5714,0.16,53.5,70.0,109.0,False
-75,4099,0.11,47.0,60.2,92.6,True
-72,2987,0.08,41.8,53.2,81.9,True
-70,2217,0.06,37.5,48.2,74.1,True
