method,n,mean_m,median_m,sd_m,rmse_m,q80_m,q95_m,max_m,n_events,share_ge_-80,median_ge_-80,share_ge_-75,median_ge_-75,sec
W30s,13571,177.03721477410045,121.57479603890206,181.16661851966157,253.3004156918218,270.76825811980353,512.7691313272489,1720.0995132447856,13571,0.34,54.5,0.22,40.0,18.7
W40s,10330,166.87794531342846,113.54462551079192,173.6861999380399,240.85726968865396,262.7730971704415,477.1081048056488,1506.4139817538035,10330,0.38,53.2,0.25,39.4,14.5
W90s,4663,144.9499769603731,95.53988700919282,154.53742770997889,211.8659737377125,235.67852878893962,410.2442836057912,1627.1896560237049,4663,0.52,48.4,0.37,40.0,6.8
W120s,3535,143.85577247001348,88.91188258940872,155.95209859513457,212.1524457941821,234.01231543856522,418.1573184283531,1594.11607740979,3535,0.57,52.5,0.42,43.5,5.3
W150s,2836,138.58317204547942,82.76151082881573,148.65871143230302,203.21642551805866,229.00103859880076,390.3315392068672,1658.51163329609,2836,0.61,52.4,0.48,47.5,4.2
W180s,2380,136.21376912502552,83.49708484545945,140.3439200753088,195.55646498223865,237.26027908994203,379.26486373308774,1508.7638476257264,2380,0.63,56.5,0.51,49.0,3.5
