method,n,mean_m,median_m,sd_m,rmse_m,q80_m,q95_m,max_m
combined_gated500_trilat_w2:test=blair,16142,250.77964493846744,202.45412769738715,203.5420587829801,322.98178501529935,381.18104576091815,674.1328436241107,1362.056054880468
combined_gated500_trilat_w2:test=martin,1858,242.85283266202498,179.83778040874736,225.50108791086865,331.36214395211965,393.9167842425885,701.0209528647996,1330.2126680021804
combined_gated500_trilat_w2:test=all,18000,249.96142176015468,200.7108755987287,205.9245252705834,323.85686135688667,382.06026191543776,676.5191277860722,1362.056054880468
combined_gated500_trilat_w2:test=blair,16142,250.98283409483037,202.6184807338962,203.561134061201,323.151591783277,382.37788183990017,674.5612490104746,1363.056661449732,blair
combined_gated500_trilat_w2:test=martin,1858,243.0280689860214,179.80076218451984,225.6882645436137,331.6178841349509,395.1526545649518,702.1831583303889,1330.2126680021804,blair
combined_gated500_trilat_w2:test=all,18000,250.16172556304332,200.9089184194674,205.96268669145874,324.0357396094923,383.4395571608634,677.4732593913246,1363.056661449732,blair
