lat,lon,n_nodes,conf_min_dist,wtime,exp_err_m,weight
38.98192177830244,-78.11315661929333,3.0,98.41603090780139,2024-06-24 00:10:30,86.0,0.00013520822065981613
38.98200492876203,-78.11299705427213,4.0,98.41603090780139,2024-06-24 00:13:30,86.0,0.00013520822065981613
38.980824402347814,-78.11264351710139,8.0,52.2008027086037,2024-06-24 00:15:05,86.0,0.00013520822065981613
38.98070420428921,-78.11247471000571,6.0,82.91030438226838,2024-06-24 00:16:34,86.0,0.00013520822065981613
38.9803912113153,-78.1125992533298,8.0,87.74813767500933,2024-06-24 00:18:00,86.0,0.00013520822065981613
38.981095413789156,-78.11201637052308,3.0,110.75457099090045,2024-06-24 00:19:31,139.0,5.175715542673774e-05
38.98040520368502,-78.11289321811549,6.0,87.74813767500933,2024-06-24 00:21:01,86.0,0.00013520822065981613
38.98032678763144,-78.1129173737612,3.0,110.75457099090045,2024-06-24 00:22:33,139.0,5.175715542673774e-05
38.98056219652226,-78.11271048238382,4.0,110.75457099090045,2024-06-24 00:24:01,139.0,5.175715542673774e-05
38.98059205407229,-78.11263488029574,4.0,110.75457099090045,2024-06-24 00:25:30,139.0,5.175715542673774e-05
38.9810248906044,-78.11225120727056,3.0,98.41603090780139,2024-06-24 00:27:04,86.0,0.00013520822065981613
38.9804431626606,-78.11279368342218,4.0,104.34443607823266,2024-06-24 00:28:30,139.0,5.175715542673774e-05
38.98044665010712,-78.11287689624288,3.0,98.41603090780139,2024-06-24 00:30:00,86.0,0.00013520822065981613
38.98045577478068,-78.11277203999593,3.0,104.34443607823266,2024-06-24 00:31:30,139.0,5.175715542673774e-05
38.9802248200769,-78.11299627377257,3.0,110.75457099090045,2024-06-24 00:34:34,139.0,5.175715542673774e-05
38.981080388985156,-78.11211757832405,4.0,110.75457099090045,2024-06-24 00:36:00,139.0,5.175715542673774e-05
38.980050034742014,-78.11310772264089,3.0,110.75457099090045,2024-06-24 00:37:30,139.0,5.175715542673774e-05
38.98052230068896,-78.11270677940357,3.0,110.75457099090045,2024-06-24 00:43:30,139.0,5.175715542673774e-05
38.980726131627726,-78.1124490855793,4.0,110.75457099090045,2024-06-24 00:45:01,139.0,5.175715542673774e-05
38.98112470434375,-78.11218823070695,3.0,104.34443607823266,2024-06-24 00:48:01,139.0,5.175715542673774e-05
38.98112470434375,-78.11218823070695,3.0,104.34443607823266,2024-06-24 00:49:35,139.0,5.175715542673774e-05
38.98087205204744,-78.1124000286216,4.0,104.34443607823266,2024-06-24 00:51:06,139.0,5.175715542673774e-05
38.98095854491934,-78.11220134275915,3.0,104.34443607823266,2024-06-24 00:52:31,139.0,5.175715542673774e-05
38.98054949292946,-78.11276479908535,3.0,104.34443607823266,2024-06-24 00:54:02,139.0,5.175715542673774e-05
38.98054949292946,-78.11276479908535,3.0,104.34443607823266,2024-06-24 00:55:31,139.0,5.175715542673774e-05
38.980448619330765,-78.11290276001773,3.0,104.34443607823266,2024-06-24 00:57:09,139.0,5.175715542673774e-05
38.98054949292946,-78.11276479908535,3.0,104.34443607823266,2024-06-24 00:58:32,139.0,5.175715542673774e-05
38.98054949292946,-78.11276479908535,3.0,104.34443607823266,2024-06-24 01:01:30,139.0,5.175715542673774e-05
38.98054949292946,-78.11276479908535,3.0,104.34443607823266,2024-06-24 01:04:35,139.0,5.175715542673774e-05
38.98123711969862,-78.11222110304003,3.0,98.41603090780139,2024-06-24 01:40:30,86.0,0.00013520822065981613
38.98048235725492,-78.1129032779164,3.0,98.41603090780139,2024-06-24 01:43:36,86.0,0.00013520822065981613
38.980417929855804,-78.11293303212949,3.0,98.41603090780139,2024-06-24 01:45:09,86.0,0.00013520822065981613
38.98057499905283,-78.11272184051472,3.0,98.41603090780139,2024-06-24 01:48:05,86.0,0.00013520822065981613
38.98057499905283,-78.11272184051472,3.0,98.41603090780139,2024-06-24 01:49:33,86.0,0.00013520822065981613
38.98057499905283,-78.11272184051472,3.0,98.41603090780139,2024-06-24 01:51:01,86.0,0.00013520822065981613
38.98059327739309,-78.11268997410494,3.0,92.90198389600589,2024-06-24 01:52:30,86.0,0.00013520822065981613
